tweet_id,author_id,text,like_count,company_name,quote_count,reply_count,retweet_count,created_at
1464255191180587009,1115694404008796160,"7/ ""Amazon continues to place polluting logistics facilities near POC-dominated areas creating dangerous health environments for those already at higher risk. Instead of responding to criticism they hide behind the shield of their 'climate pledge'."" - SDE https://t.co/tAcaFhzXK3",3,Amazon,0,1,1,2021-11-26T15:30:16.000Z
1464255189196709888,1115694404008796160,"6/ ""Amazon workers in the warehouses, the data centers, the offices, delivery drivers, and the workers producing goods all have the fundamental right to organize. Amazon must stop retaliating against workers attempting to improve their working conditions."" -Amazon SDE",3,Amazon,0,1,0,2021-11-26T15:30:16.000Z
1464255186705076238,1115694404008796160,"5/""The settlement that Amazon reached w/ AECJ organizers reminds workers about their critical right to organize their workplaces. To me, it shows that we workers really have the ability to make our voices heard. It proves that when workers organize, we all benefit.""-Amazon Worker",4,Amazon,0,1,0,2021-11-26T15:30:15.000Z
1464255183693701122,1115694404008796160,4/ We know Amazon's issues won't be solved from the top -the solutions will come from the communities and workers who keep speaking out for change. Here's what more workers want you to know today 🗣️:,2,Amazon,0,1,0,2021-11-26T15:30:14.000Z
1464255181164584960,1115694404008796160,3/There's a reason @amazon tries to keep workers quiet across corporate and warehouse workplaces- it's trying to hide a lot of wrong. It's trying to hide the fact the diesel trucks making Xmas deliveries will be spewing pollution thru communities of color. https://t.co/jgnmcJSgDi,6,Amazon,0,1,1,2021-11-26T15:30:14.000Z
1464255178618585128,1115694404008796160,"2/ Instead of working with their own workers, Amazon continues trying to silence us. But we won't let that happen. As the important win of @marencosta and @emahlee's settlement with the company shows, we have a right to organize without retaliation. https://t.co/mfj6iX0fB8",5,Amazon,0,1,1,2021-11-26T15:30:13.000Z
1464255175112208384,1115694404008796160,"1/ This #BlackFriday, we're thinking about what we want as workers as Amazon rakes in cash while trying to silence the workers who create it. #MakeAmazonPay THREAD 👇",21,Amazon,0,1,8,2021-11-26T15:30:12.000Z
1460748018378895360,1115694404008796160,"We stand in solidarity with Magda, a Polish warehouse worker, who was fired by Amazon following the death of one of her colleagues. This is wrong and outrageous.

Read the statement from her union below.

We demand she be reinstated!

https://t.co/VtGPviCXXe",15,Amazon,0,1,6,2021-11-16T23:14:01.000Z
1443971733711572997,1115694404008796160,"“Emily and Maren are doing the important work of calling out Amazon's bad practices and speaking out in support of workers! Their courage is an inspiration to many women in tech like myself and I am infuriated by Amazon's retaliation against them.”
—Amazon SDE",5,Amazon,0,0,0,2021-10-01T16:11:03.000Z
1443971732407144453,1115694404008796160,"“As a woman in Tech with both diverse experiences and interests I am appalled Amazon illegally retaliated against Emily and Maren. Their courage and bravery in the face of overwhelming odds gives me strength and hope.”
—Amazon Sr. Marketing Manager",4,Amazon,0,1,0,2021-10-01T16:11:03.000Z
1443971730930737152,1115694404008796160,Many of us are inspired and grateful for the risks that @marencosta and @emahlee have taken for the future of our planet and the ability of workers to speak up when we see something wrong. Here are a few words from tech workers across the company 👇,6,Amazon,0,1,2,2021-10-01T16:11:03.000Z
