tweet_id,author_id,text,tweet_type,like_count,company_name,quote_count,reply_count,retweet_count,created_at
tweet_id,author_id,text,tweet_type,like_count,company_name,quote_count,reply_count,retweet_count,created_at
1574194502104915975,2293315159,"To all our Jewish friends, family, and neighbors celebrating the start of #RoshHashanah tonight, Shanah Tovah! https://t.co/6mfROu4Tl8",,6432,ObamaFoundation,42,908,917,2022-09-26T00:29:51.000Z
1573318844562669573,2293315159,"This #BannedBooksWeek, we spoke with @uchicago Obama Scholar Rebecca Silverman and her @rosecafechi co-founder Iesha Malone about the power of representation in literature and the corrosive effect silencing diverse storytellers can have. Read more: https://t.co/iyw6u848sK",,160,ObamaFoundation,3,26,50,2022-09-23T14:30:18.000Z
1573031965179187201,2293315159,My heart goes out to the millions being affected by the #PakistanFloods. But what's giving me hope is the everyday people and organizations who are stepping up to help. The @ObamaFoundation has put together a list of ways you can help. https://t.co/1QabVkTzsJ,retweeted,0,ObamaFoundation,0,0,51,2022-09-22T19:30:20.000Z
1572679474751180804,2293315159,"After the catastrophic flooding in Pakistan, millions are displaced, food supplies are low, and more than 660,000 people have taken shelter at relief camps. We've compiled a list of orgs—including @alkhidmatorg, @HI_UnitedStates, @Edhiorg, and @TCFPak—who are accepting donations:",,403,ObamaFoundation,17,33,178,2022-09-21T20:09:40.000Z
1572643770507866112,2293315159,"Last week, our newest cohort of #ObamaScholars from @Uchicago and @Columbia came together in Chicago! During their orientation they got to know one another and planned for what’s ahead. 

Want to know the issue areas these leaders are focusing on? Visit https://t.co/AEoul1BFo5 https://t.co/Sfz6QYJyX0",,176,ObamaFoundation,3,9,53,2022-09-21T17:47:47.000Z
1572603494963777537,2293315159,"Puerto Rico never fully recovered from Hurricane Maria in 2017. Now, millions are without power and shelter in the wake of Hurricane Fiona. We’re thinking of all those affected, and our #MBK family from @FComunitaria and the Loíza Alliance for Peace. Find out how you can help⬇️ https://t.co/dbEUvB1uJy",retweeted,0,ObamaFoundation,0,0,51,2022-09-21T15:07:45.000Z
1572351759623884800,2293315159,"Brigada Solidaria del Oeste, a #PuertoRico based @MutualAidRelief group is collecting emergency donations such as solar lamps, water filters, water purification tablets and first aid kids, as well as monetary donations via Paypal. https://t.co/x9LlXTy4FR",replied_to,75,ObamaFoundation,0,3,34,2022-09-20T22:27:27.000Z
1572351758210400259,2293315159,"The @HispanicFed, a nonprofit supporting Latino communities across the country, is providing on-the-ground emergency relief and essential supplies after #HurricaneFiona. https://t.co/dO9k0vrKZl",replied_to,86,ObamaFoundation,3,3,39,2022-09-20T22:27:26.000Z
1572351756503490561,2293315159,PRxPR is a disaster and rebuild relief fund that launched after Hurricane Maria in 2017. @prxprorg works with local organizations across the island to help rebuild infrastructure and provide humanitarian needs.  https://t.co/sz1wcpznnE,replied_to,76,ObamaFoundation,3,1,32,2022-09-20T22:27:26.000Z
1572351755068776449,2293315159,"The organizations threaded below are accepting donations to provide medical and hygiene kits, food, shelter, and more to families in need after #HurricaneFiona.

If you’re able, we hope you’ll consider pitching in to help the victims of #PuertoRico and beyond:",,340,ObamaFoundation,3,13,188,2022-09-20T22:27:25.000Z
